Date,Latitude,Longitude,Rainfall_mm
2025-01-01,18.0,81.0,0.0
2025-01-01,18.0,82.0,0.0
2025-01-01,18.0,83.0,0.0
2025-01-01,18.0,84.0,0.0
2025-01-01,19.0,81.0,0.0
2025-01-01,19.0,82.0,0.0
2025-01-01,19.0,83.0,0.0
2025-01-01,19.0,84.0,0.0
2025-01-01,19.0,85.0,0.0
2025-01-01,20.0,81.0,0.0
2025-01-01,20.0,82.0,0.0
2025-01-01,20.0,83.0,0.0
2025-01-01,20.0,84.0,0.0
2025-01-01,20.0,85.0,0.0
2025-01-01,21.0,81.0,0.0
2025-01-01,21.0,82.0,0.0
2025-01-01,21.0,83.0,0.0
2025-01-01,21.0,84.0,0.0
2025-01-01,21.0,85.0,0.0
2025-01-01,22.0,81.0,0.0
2025-01-01,22.0,82.0,0.0
2025-01-01,22.0,83.0,0.0
2025-01-01,22.0,84.0,0.0
2025-01-01,22.0,85.0,0.0
2025-01-01,23.0,81.0,0.0
2025-01-01,23.0,82.0,0.0
2025-01-01,23.0,83.0,0.0
2025-01-01,23.0,84.0,0.0
2025-01-01,23.0,85.0,0.0
2025-01-01,24.0,81.0,0.0
2025-01-01,24.0,82.0,0.0
2025-01-01,24.0,83.0,0.0
2025-01-01,24.0,84.0,0.0
2025-01-01,24.0,85.0,0.0
2025-01-02,18.0,81.0,0.0
2025-01-02,18.0,82.0,0.0
2025-01-02,18.0,83.0,0.0
2025-01-02,18.0,84.0,0.0
2025-01-02,19.0,81.0,0.0
2025-01-02,19.0,82.0,0.0
2025-01-02,19.0,83.0,0.0
2025-01-02,19.0,84.0,0.0
2025-01-02,19.0,85.0,0.0
2025-01-02,20.0,81.0,0.0
2025-01-02,20.0,82.0,0.0
2025-01-02,20.0,83.0,0.0
2025-01-02,20.0,84.0,0.0
2025-01-02,20.0,85.0,0.0
2025-01-02,21.0,81.0,0.0
2025-01-02,21.0,82.0,0.0
2025-01-02,21.0,83.0,0.0
2025-01-02,21.0,84.0,0.0
2025-01-02,21.0,85.0,0.0
2025-01-02,22.0,81.0,0.0
2025-01-02,22.0,82.0,0.0
2025-01-02,22.0,83.0,0.0
2025-01-02,22.0,84.0,0.0
2025-01-02,22.0,85.0,0.0
2025-01-02,23.0,81.0,0.0
2025-01-02,23.0,82.0,0.0
2025-01-02,23.0,83.0,0.0
2025-01-02,23.0,84.0,0.0
2025-01-02,23.0,85.0,0.0
2025-01-02,24.0,81.0,0.0
2025-01-02,24.0,82.0,0.0
2025-01-02,24.0,83.0,0.0
2025-01-02,24.0,84.0,0.0
2025-01-02,24.0,85.0,0.0
2025-01-03,18.0,81.0,0.0
2025-01-03,18.0,82.0,0.0
2025-01-03,18.0,83.0,0.0
2025-01-03,18.0,84.0,0.0
2025-01-03,19.0,81.0,0.0
2025-01-03,19.0,82.0,0.0
2025-01-03,19.0,83.0,0.0
2025-01-03,19.0,84.0,0.0
2025-01-03,19.0,85.0,0.0
