time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_mean,wind_speed_10m_max,wind_gusts_10m_max,surface_pressure_mean,cloud_cover_mean,shortwave_radiation_sum,et0_fao_evapotranspiration,uv_index_max,district_id,district_name,latitude,longitude
2016-09-13,55,26.5,30.0,24.3,31.7,5.7,88,8.3,13.6,25.9,968.8,98,10.36,2.29,,balod,Balod,20.73,81.2
2016-09-14,63,26.9,29.5,25.2,32.3,20.9,88,8.1,12.2,25.2,968.9,95,10.26,2.32,,balod,Balod,20.73,81.2
2016-09-15,51,27.6,31.8,24.6,33.1,2.0,85,7.5,11.2,26.6,968.1,67,14.87,3.28,,balod,Balod,20.73,81.2
2016-09-16,61,28.3,31.8,25.4,34.6,4.7,83,3.8,6.4,20.2,967.8,68,17.09,3.66,,balod,Balod,20.73,81.2
2016-09-17,61,28.4,32.8,26.2,34.7,7.0,83,4.4,8.2,19.1,967.9,77,17.19,3.74,,balod,Balod,20.73,81.2
2016-09-18,63,27.9,31.7,26.0,34.0,10.8,85,5.3,8.2,19.4,969.2,88,13.22,2.93,,balod,Balod,20.73,81.2
2016-09-19,63,27.8,31.9,25.4,33.9,14.5,85,5.0,7.6,18.4,969.1,87,17.45,3.7,,balod,Balod,20.73,81.2
2016-09-20,63,27.9,31.9,25.5,33.9,15.1,84,4.6,9.1,22.7,968.4,97,13.74,3.0,,balod,Balod,20.73,81.2
2016-09-21,53,27.9,32.2,25.2,33.5,2.2,83,7.6,11.8,31.0,969.2,82,18.97,4.07,,balod,Balod,20.73,81.2
2016-09-22,61,27.6,30.5,25.5,32.2,4.6,83,12.6,16.9,32.8,969.4,97,15.48,3.56,,balod,Balod,20.73,81.2
2016-09-23,63,27.2,30.6,25.4,32.2,13.1,86,11.1,16.1,31.3,966.9,85,14.1,3.06,,balod,Balod,20.73,81.2
2016-09-24,63,27.4,30.9,25.1,32.7,21.4,85,7.9,13.3,27.7,965.4,99,14.27,3.18,,balod,Balod,20.73,81.2
2016-09-25,61,26.9,30.4,25.1,32.8,7.7,88,4.3,6.8,22.0,966.5,100,10.03,2.19,,balod,Balod,20.73,81.2
2016-09-26,63,26.7,31.1,25.0,32.6,14.6,88,3.7,8.1,18.7,968.5,100,7.8,1.8,,balod,Balod,20.73,81.2
2016-09-27,63,26.5,29.1,24.9,32.5,9.9,91,4.1,7.6,16.2,969.2,100,7.77,1.72,,balod,Balod,20.73,81.2
2016-09-28,63,26.6,29.1,24.9,32.6,12.2,89,3.3,7.7,18.7,968.1,97,11.24,2.38,,balod,Balod,20.73,81.2
2016-09-29,63,26.0,28.0,24.8,31.7,13.6,90,3.4,7.4,18.7,967.2,99,6.62,1.49,,balod,Balod,20.73,81.2
2016-09-30,63,26.3,30.0,24.3,31.6,9.2,90,7.4,11.9,25.9,967.1,94,10.78,2.34,,balod,Balod,20.73,81.2
2016-10-01,53,27.4,31.6,24.7,32.2,1.7,83,10.1,15.2,31.7,968.9,78,15.18,3.42,,balod,Balod,20.73,81.2
2016-10-02,63,27.2,30.8,24.9,32.7,9.4,85,5.8,8.1,23.0,971.4,71,15.56,3.3,,balod,Balod,20.73,81.2
2016-10-03,53,27.7,31.4,25.2,33.2,1.3,82,5.3,8.5,20.5,971.6,85,16.86,3.61,,balod,Balod,20.73,81.2
2016-10-04,3,28.1,32.1,25.2,33.0,0.0,78,7.7,10.5,25.9,970.9,70,17.93,4.01,,balod,Balod,20.73,81.2
2016-10-05,61,28.1,31.3,25.8,33.3,5.9,81,8.6,12.1,26.3,969.9,69,17.05,3.78,,balod,Balod,20.73,81.2
2016-10-06,63,27.5,32.1,24.8,32.9,8.3,83,7.4,11.3,27.0,970.0,85,17.18,3.75,,balod,Balod,20.73,81.2
2016-10-07,61,25.9,27.3,24.5,31.5,20.0,92,5.3,7.6,26.3,970.0,81,9.14,1.9,,balod,Balod,20.73,81.2
2016-10-08,63,26.1,29.9,24.1,31.6,20.0,89,4.2,6.6,21.2,969.9,99,7.77,1.75,,balod,Balod,20.73,81.2
2016-10-09,63,25.8,28.6,24.1,31.0,15.2,90,6.5,10.6,25.9,969.2,100,7.29,1.63,,balod,Balod,20.73,81.2
2016-10-10,3,27.3,31.7,24.2,31.6,0.0,78,9.7,14.7,29.5,969.4,97,20.98,4.5,,balod,Balod,20.73,81.2
2016-10-11,3,27.4,32.2,23.3,31.9,0.0,77,7.6,11.8,26.6,970.4,85,20.13,4.43,,balod,Balod,20.73,81.2
2016-10-12,3,26.9,31.2,22.4,31.2,0.0,75,5.5,7.3,19.1,971.4,59,18.58,4.01,,balod,Balod,20.73,81.2
2016-10-13,3,26.5,32.6,21.4,29.5,0.0,67,5.1,7.3,16.6,972.7,45,21.83,4.66,,balod,Balod,20.73,81.2
2016-10-14,2,25.8,31.6,20.6,28.3,0.0,66,5.3,7.6,14.8,973.5,37,15.72,3.6,,balod,Balod,20.73,81.2
2016-10-15,2,25.5,31.3,20.3,28.6,0.0,71,4.3,6.9,14.4,973.9,35,18.22,3.85,,balod,Balod,20.73,81.2
2016-10-16,1,25.1,31.3,20.1,27.5,0.0,68,6.6,10.0,22.0,974.4,10,20.4,4.44,,balod,Balod,20.73,81.2
2016-10-17,0,25.0,31.1,19.5,27.6,0.0,68,5.5,7.8,17.3,973.4,4,21.5,4.56,,balod,Balod,20.73,81.2
2016-10-18,1,25.6,31.2,21.0,28.3,0.0,69,5.5,9.4,21.2,972.7,14,19.71,4.25,,balod,Balod,20.73,81.2
2016-10-19,0,24.8,31.2,20.1,27.2,0.0,69,6.1,9.9,22.3,971.8,4,21.09,4.48,,balod,Balod,20.73,81.2
2016-10-20,0,24.6,30.8,18.8,27.1,0.0,69,4.7,7.2,16.6,970.9,1,21.23,4.36,,balod,Balod,20.73,81.2
2016-10-21,3,25.0,30.7,19.6,27.6,0.0,68,4.5,8.7,20.5,971.9,24,21.08,4.32,,balod,Balod,20.73,81.2
2016-10-22,3,24.6,31.2,19.2,27.2,0.0,71,5.5,9.2,20.9,973.3,49,20.61,4.33,,balod,Balod,20.73,81.2
2016-10-23,3,24.8,31.9,19.1,27.0,0.0,67,5.8,8.1,17.6,973.3,13,20.93,4.45,,balod,Balod,20.73,81.2
2016-10-24,3,25.2,31.5,20.0,27.3,0.0,67,7.6,9.6,22.0,972.6,67,18.08,4.18,,balod,Balod,20.73,81.2
2016-10-25,3,25.3,31.5,20.1,27.8,0.0,68,6.2,8.9,21.6,972.3,37,19.97,4.3,,balod,Balod,20.73,81.2
2016-10-26,2,24.7,31.0,20.4,26.6,0.0,68,8.3,12.6,26.6,973.5,29,19.89,4.42,,balod,Balod,20.73,81.2
2016-10-27,2,23.5,30.2,19.0,24.7,0.0,67,9.3,14.3,30.2,975.3,7,20.76,4.55,,balod,Balod,20.73,81.2
2016-10-28,3,24.5,30.1,19.3,26.8,0.0,71,7.9,10.1,24.5,974.8,29,17.36,3.83,,balod,Balod,20.73,81.2
2016-10-29,51,25.5,30.2,21.5,29.3,0.1,81,7.2,11.1,22.7,974.9,28,15.65,3.34,,balod,Balod,20.73,81.2
2016-10-30,2,25.0,29.9,20.6,28.2,0.0,78,7.1,10.0,23.8,976.1,16,17.03,3.57,,balod,Balod,20.73,81.2
2016-10-31,1,24.3,30.4,20.0,26.8,0.0,74,7.5,9.4,22.3,978.0,9,18.32,3.91,,balod,Balod,20.73,81.2
2016-11-01,1,23.7,29.5,18.7,25.7,0.0,72,7.4,11.7,27.4,977.2,9,19.34,4.04,,balod,Balod,20.73,81.2
2016-11-02,3,24.0,29.9,19.3,26.0,0.0,70,7.4,11.0,25.6,976.6,26,19.19,4.1,,balod,Balod,20.73,81.2
2016-11-03,2,24.3,30.1,18.8,27.0,0.0,78,8.6,12.6,28.8,976.4,11,17.82,3.76,,balod,Balod,20.73,81.2
2016-11-04,51,24.7,28.7,20.1,27.9,0.5,82,9.2,15.6,38.2,973.8,50,15.66,3.22,,balod,Balod,20.73,81.2
2016-11-05,51,24.4,29.4,20.4,27.6,0.4,80,7.3,12.2,27.0,972.3,46,14.43,3.04,,balod,Balod,20.73,81.2
2016-11-06,1,23.7,29.5,19.3,26.0,0.0,75,6.5,8.9,22.3,973.9,15,16.24,3.33,,balod,Balod,20.73,81.2
2016-11-07,0,22.5,30.0,17.3,23.3,0.0,66,7.4,13.0,28.1,975.6,0,20.09,4.25,,balod,Balod,20.73,81.2
2016-11-08,0,21.8,30.5,15.3,22.4,0.0,65,6.3,8.0,19.8,975.9,0,19.71,4.1,,balod,Balod,20.73,81.2
2016-11-09,0,21.3,29.6,14.8,21.9,0.0,66,6.2,8.7,20.5,976.9,0,19.57,3.94,,balod,Balod,20.73,81.2
2016-11-10,3,20.5,28.6,13.5,20.7,0.0,65,6.7,9.9,19.4,976.1,20,19.58,3.89,,balod,Balod,20.73,81.2
2016-11-11,1,21.3,28.4,16.5,22.1,0.0,66,5.8,8.7,16.9,976.2,3,19.25,3.86,,balod,Balod,20.73,81.2
2016-11-12,0,21.0,28.1,17.0,22.0,0.0,70,6.4,9.2,18.7,977.2,0,18.97,3.75,,balod,Balod,20.73,81.2
2016-11-13,1,21.7,28.7,16.9,23.2,0.0,74,7.0,9.6,21.2,978.2,3,18.08,3.64,,balod,Balod,20.73,81.2
