Date,Latitude,Longitude,Rainfall_mm
2025-01-01,18.0,80.5,0.0
2025-01-01,18.0,81.0,0.0
2025-01-01,18.0,81.5,0.0
2025-01-01,18.0,82.0,0.0
2025-01-01,18.0,82.5,0.0
2025-01-01,18.0,83.0,0.0
2025-01-01,18.0,83.5,0.0
2025-01-01,18.5,80.5,0.0
2025-01-01,18.5,81.0,0.0
2025-01-01,18.5,81.5,0.0
2025-01-01,18.5,82.0,0.0
2025-01-01,18.5,82.5,0.0
2025-01-01,18.5,83.0,0.0
2025-01-01,18.5,83.5,0.0
2025-01-01,18.5,84.0,0.0
2025-01-01,19.0,80.5,0.0
2025-01-01,19.0,81.0,0.0
2025-01-01,19.0,81.5,0.0
2025-01-01,19.0,82.0,0.0
2025-01-01,19.0,82.5,0.0
2025-01-01,19.0,83.0,0.0
2025-01-01,19.0,83.5,0.0
2025-01-01,19.0,84.0,0.0
2025-01-01,19.5,80.5,0.0
2025-01-01,19.5,81.0,0.0
2025-01-01,19.5,81.5,0.0
2025-01-01,19.5,82.0,0.0
2025-01-01,19.5,82.5,0.0
2025-01-01,19.5,83.0,0.0
2025-01-01,19.5,83.5,0.0
2025-01-01,19.5,84.0,0.0
2025-01-01,20.0,80.5,0.0
2025-01-01,20.0,81.0,0.0
2025-01-01,20.0,81.5,0.0
2025-01-01,20.0,82.0,0.0
2025-01-01,20.0,82.5,0.0
2025-01-01,20.0,83.0,0.0
2025-01-01,20.0,83.5,0.0
2025-01-01,20.0,84.0,0.0
2025-01-01,20.5,80.5,0.0
2025-01-01,20.5,81.0,0.0
2025-01-01,20.5,81.5,0.0
2025-01-01,20.5,82.0,0.0
2025-01-01,20.5,82.5,0.0
2025-01-01,20.5,83.0,0.0
2025-01-01,20.5,83.5,0.0
2025-01-01,20.5,84.0,0.0
2025-01-01,21.0,80.5,0.0
2025-01-01,21.0,81.0,0.0
2025-01-01,21.0,81.5,0.0
2025-01-01,21.0,82.0,0.0
2025-01-01,21.0,82.5,0.0
2025-01-01,21.0,83.0,0.0
2025-01-01,21.0,83.5,0.0
2025-01-01,21.0,84.0,0.0
2025-01-01,21.5,80.5,0.0
2025-01-01,21.5,81.0,0.0
2025-01-01,21.5,81.5,0.0
2025-01-01,21.5,82.0,0.0
2025-01-01,21.5,82.5,0.0
2025-01-01,21.5,83.0,0.0
2025-01-01,21.5,83.5,0.0
2025-01-01,21.5,84.0,0.0
2025-01-01,22.0,80.5,0.0
2025-01-01,22.0,81.0,0.0
2025-01-01,22.0,81.5,0.0
2025-01-01,22.0,82.0,0.0
2025-01-01,22.0,82.5,0.0
2025-01-01,22.0,83.0,0.0
2025-01-01,22.0,83.5,0.0
2025-01-01,22.0,84.0,0.0
2025-01-01,22.5,80.5,0.0
2025-01-01,22.5,81.0,0.0
2025-01-01,22.5,81.5,0.0
2025-01-01,22.5,82.0,0.0
2025-01-01,22.5,82.5,0.0
2025-01-01,22.5,83.0,0.0
2025-01-01,22.5,83.5,0.0
2025-01-01,22.5,84.0,0.0
2025-01-01,23.0,80.5,0.0
2025-01-01,23.0,81.0,0.0
2025-01-01,23.0,81.5,0.0
2025-01-01,23.0,82.0,0.0
2025-01-01,23.0,82.5,0.0
2025-01-01,23.0,83.0,0.0
2025-01-01,23.0,83.5,0.0
2025-01-01,23.0,84.0,0.0
2025-01-01,23.5,80.5,0.0
2025-01-01,23.5,81.0,0.0
2025-01-01,23.5,81.5,0.0
2025-01-01,23.5,82.0,0.0
2025-01-01,23.5,82.5,0.0
2025-01-01,23.5,83.0,0.0
2025-01-01,23.5,83.5,0.0
2025-01-01,23.5,84.0,0.0
2025-01-01,24.0,80.5,0.0
2025-01-01,24.0,81.0,0.0
2025-01-01,24.0,81.5,0.0
2025-01-01,24.0,82.0,0.0
2025-01-01,24.0,82.5,0.0
2025-01-01,24.0,83.0,0.0
2025-01-01,24.0,83.5,0.0
2025-01-01,24.0,84.0,0.0
2025-01-02,18.0,80.5,0.0
2025-01-02,18.0,81.0,0.0
2025-01-02,18.0,81.5,0.0
2025-01-02,18.0,82.0,0.0
2025-01-02,18.0,82.5,0.0
2025-01-02,18.0,83.0,0.0
2025-01-02,18.0,83.5,0.0
2025-01-02,18.5,80.5,0.0
2025-01-02,18.5,81.0,0.0
2025-01-02,18.5,81.5,0.0
2025-01-02,18.5,82.0,0.0
2025-01-02,18.5,82.5,0.0
2025-01-02,18.5,83.0,0.0
2025-01-02,18.5,83.5,0.0
