Latitude,Longitude
18.0,80.5
18.0,81.0
18.0,81.5
18.0,82.0
18.0,82.5
18.0,83.0
18.0,83.5
18.0,84.0
18.0,84.5
18.0,85.0
18.5,80.5
18.5,81.0
18.5,81.5
18.5,82.0
18.5,82.5
18.5,83.0
18.5,83.5
18.5,84.0
18.5,84.5
18.5,85.0
19.0,80.5
19.0,81.0
19.0,81.5
19.0,82.0
19.0,82.5
19.0,83.0
19.0,83.5
19.0,84.0
19.0,84.5
19.0,85.0
19.5,80.5
19.5,81.0
19.5,81.5
19.5,82.0
19.5,82.5
19.5,83.0
19.5,83.5
19.5,84.0
19.5,84.5
19.5,85.0
20.0,80.5
20.0,81.0
20.0,81.5
20.0,82.0
20.0,82.5
20.0,83.0
20.0,83.5
20.0,84.0
20.0,84.5
20.0,85.0
20.5,80.5
20.5,81.0
20.5,81.5
20.5,82.0
20.5,82.5
20.5,83.0
20.5,83.5
20.5,84.0
20.5,84.5
20.5,85.0
21.0,80.5
21.0,81.0
21.0,81.5
21.0,82.0
21.0,82.5
21.0,83.0
21.0,83.5
21.0,84.0
21.0,84.5
21.0,85.0
21.5,80.5
21.5,81.0
21.5,81.5
21.5,82.0
21.5,82.5
21.5,83.0
21.5,83.5
21.5,84.0
21.5,84.5
21.5,85.0
22.0,80.5
22.0,81.0
22.0,81.5
22.0,82.0
22.0,82.5
22.0,83.0
22.0,83.5
22.0,84.0
22.0,84.5
22.0,85.0
22.5,80.5
22.5,81.0
22.5,81.5
22.5,82.0
22.5,82.5
22.5,83.0
22.5,83.5
22.5,84.0
22.5,84.5
22.5,85.0
23.0,80.5
23.0,81.0
23.0,81.5
23.0,82.0
23.0,82.5
23.0,83.0
23.0,83.5
23.0,84.0
23.0,84.5
23.0,85.0
23.5,80.5
23.5,81.0
23.5,81.5
23.5,82.0
23.5,82.5
23.5,83.0
23.5,83.5
23.5,84.0
23.5,84.5
23.5,85.0
24.0,80.5
24.0,81.0
24.0,81.5
24.0,82.0
24.0,82.5
24.0,83.0
24.0,83.5
24.0,84.0
24.0,84.5
24.0,85.0
24.5,80.5
24.5,81.0
24.5,81.5
24.5,82.0
24.5,82.5
24.5,83.0
24.5,83.5
24.5,84.0
24.5,84.5
24.5,85.0
