Date,Latitude,Longitude,Rainfall_mm
2025-01-01,18.0,80.25,0.0
2025-01-01,18.0,80.5,0.0
2025-01-01,18.0,80.75,0.0
2025-01-01,18.0,81.0,0.0
2025-01-01,18.0,81.25,0.0
2025-01-01,18.0,81.5,0.0
2025-01-01,18.0,81.75,0.0
2025-01-01,18.0,82.0,0.0
2025-01-01,18.0,82.25,0.0
2025-01-01,18.0,82.5,0.0
2025-01-01,18.0,82.75,0.0
2025-01-01,18.0,83.0,0.0
2025-01-01,18.0,83.25,0.0
2025-01-01,18.0,83.5,0.0
2025-01-01,18.25,80.25,0.0
2025-01-01,18.25,80.5,0.0
2025-01-01,18.25,80.75,0.0
2025-01-01,18.25,81.0,0.0
2025-01-01,18.25,81.25,0.0
2025-01-01,18.25,81.5,0.0
2025-01-01,18.25,81.75,0.0
2025-01-01,18.25,82.0,0.0
2025-01-01,18.25,82.25,0.0
2025-01-01,18.25,82.5,0.0
2025-01-01,18.25,82.75,0.0
2025-01-01,18.25,83.0,0.0
2025-01-01,18.25,83.25,0.0
2025-01-01,18.25,83.5,0.0
2025-01-01,18.25,83.75,0.0
2025-01-01,18.5,80.25,0.0
2025-01-01,18.5,80.5,0.0
2025-01-01,18.5,80.75,0.0
2025-01-01,18.5,81.0,0.0
2025-01-01,18.5,81.25,0.0
2025-01-01,18.5,81.5,0.0
2025-01-01,18.5,81.75,0.0
2025-01-01,18.5,82.0,0.0
2025-01-01,18.5,82.25,0.0
2025-01-01,18.5,82.5,0.0
2025-01-01,18.5,82.75,0.0
2025-01-01,18.5,83.0,0.0
2025-01-01,18.5,83.25,0.0
2025-01-01,18.5,83.5,0.0
2025-01-01,18.5,83.75,0.0
2025-01-01,18.5,84.0,0.0
2025-01-01,18.75,80.25,0.0
2025-01-01,18.75,80.5,0.0
2025-01-01,18.75,80.75,0.0
2025-01-01,18.75,81.0,0.0
2025-01-01,18.75,81.25,0.0
2025-01-01,18.75,81.5,0.0
2025-01-01,18.75,81.75,0.0
2025-01-01,18.75,82.0,0.0
2025-01-01,18.75,82.25,0.0
2025-01-01,18.75,82.5,0.0
2025-01-01,18.75,82.75,0.0
2025-01-01,18.75,83.0,0.0
